jobsat,ai_use,remote3,country,workexp,devgroup,yourchoice,year,ai_freq
10.0,1.0,Remote,Ukraine,8.0,Developer,0,2025,1.0
9.0,1.0,Hybrid,Netherlands,2.0,Developer,0,2025,2.0
6.0,1.0,Remote,Ukraine,4.0,Developer,0,2025,2.0
6.0,1.0,Remote,Ukraine,22.0,Other,0,2025,3.0
8.0,1.0,Remote,Ukraine,9.0,Data/ML,0,2025,1.0
4.0,0.0,Remote,Ukraine,7.0,Developer,0,2025,
10.0,1.0,Remote,Ukraine,7.0,Developer,0,2025,3.0
8.0,1.0,Remote,Ukraine,3.0,Developer,0,2025,3.0
7.0,1.0,Remote,India,5.0,Developer,0,2025,3.0
6.0,1.0,Hybrid,Greece,1.0,Developer,0,2025,3.0
5.0,0.0,Hybrid,Germany,20.0,Developer,0,2025,
9.0,1.0,Remote,United States of America,7.0,Developer,0,2025,1.0
8.0,0.0,Remote,Netherlands,2.0,Developer,0,2025,
9.0,1.0,Hybrid,Sweden,24.0,Developer,0,2025,3.0
8.0,1.0,Remote,United States of America,19.0,Developer,0,2025,3.0
8.0,0.0,Remote,United States of America,17.0,Developer,0,2025,
7.0,0.0,Hybrid,Belgium,26.0,Developer,0,2025,
8.0,0.0,Hybrid,United States of America,24.0,Data/ML,0,2025,
8.0,1.0,In-person,Czech Republic,22.0,Developer,0,2025,3.0
6.0,1.0,Remote,Germany,10.0,Developer,1,2025,3.0
7.0,1.0,Remote,Italy,10.0,Developer,0,2025,3.0
10.0,0.0,In-person,United States of America,15.0,Developer,0,2025,
6.0,1.0,Remote,United Kingdom of Great Britain and Northern Ireland,25.0,Developer,0,2025,3.0
2.0,1.0,Hybrid,United States of America,7.0,Developer,0,2025,1.0
8.0,1.0,Hybrid,United States of America,33.0,Developer,0,2025,3.0
3.0,1.0,Remote,United States of America,25.0,Developer,0,2025,3.0
8.0,1.0,Remote,United States of America,25.0,Developer,0,2025,3.0
3.0,1.0,Remote,Czech Republic,8.0,Developer,0,2025,1.0
8.0,0.0,Hybrid,Hungary,20.0,Data/ML,0,2025,
7.0,1.0,Remote,United Kingdom of Great Britain and Northern Ireland,15.0,Other,0,2025,1.0
8.0,1.0,Hybrid,Switzerland,6.0,Research,0,2025,3.0
6.0,1.0,Hybrid,Germany,10.0,Developer,0,2025,3.0
9.0,1.0,Hybrid,Netherlands,15.0,Developer,0,2025,1.0
7.0,1.0,Remote,United States of America,8.0,Developer,0,2025,2.0
9.0,1.0,Hybrid,Austria,3.0,Developer,0,2025,1.0
8.0,1.0,Remote,Poland,4.0,Other,1,2025,1.0
8.0,1.0,Remote,United Kingdom of Great Britain and Northern Ireland,20.0,Developer,0,2025,3.0
9.0,1.0,Remote,Spain,17.0,Developer,0,2025,3.0
6.0,1.0,Remote,Russian Federation,7.0,Developer,0,2025,1.0
9.0,1.0,Remote,United States of America,26.0,Developer,0,2025,2.0
3.0,0.0,Hybrid,Japan,6.0,Developer,0,2025,
7.0,1.0,Hybrid,Poland,6.0,Developer,0,2025,2.0
