year,term,VIF
2024,ai_use,1.02
2024,workexp_z,1.08
2024,remote3_Hybrid,2.0
2024,remote3_Remote,2.04
2024,devgroup_DevOps/Infra,1.51
2024,devgroup_Developer,3.92
2024,devgroup_Manager,1.74
2024,devgroup_Other,2.52
2024,devgroup_Research,1.61
2024,devgroup_Student,1.1
2025,ai_use,1.02
2025,workexp_z,1.08
2025,remote3_Hybrid,2.19
2025,remote3_Remote,2.23
2025,devgroup_DevOps/Infra,1.46
2025,devgroup_Developer,3.58
2025,devgroup_Manager,1.49
2025,devgroup_Other,2.81
2025,devgroup_Research,1.17
2025,devgroup_Student,1.07
